Unnamed: 0,timestamp,id,event,details,id_group
475,2000-01-01 11:22:58,instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 125, 'height': 246}, 'delta': {'width': 75, 'height': 196}, 'linkedSizeNodeIds': [], 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
476,2000-01-01 11:23:00,instance-e31a7f32-eead-426d-b28e-f76cad91bda6,layout.node.moved,"{'nodeId': 'instance-e31a7f32-eead-426d-b28e-f76cad91bda6', 'newPos': {'x': 4.447914123535156, 'y': 271.44791412353516}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
477,2000-01-01 11:23:02,instance-e31a7f32-eead-426d-b28e-f76cad91bda6-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-e31a7f32-eead-426d-b28e-f76cad91bda6-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 106, 'height': 224}, 'delta': {'width': 56, 'height': 174}, 'linkedSizeNodeIds': [], 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
478,2000-01-01 11:23:24,,instance.created_from_text,"{'position': {'x': 175.44791412353516, 'y': 109.44791412353516}, 'screen_position': {'x': 238, 'y': 152}, 'board_type': 'advanced', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
479,2000-01-01 11:23:27,,instance.created_from_text,"{'position': {'x': 186.44791412353516, 'y': 146.44791412353516}, 'screen_position': {'x': 249, 'y': 189}, 'board_type': 'advanced', 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
480,2000-01-01 11:23:47,instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a,layout.node.moved,"{'nodeId': 'instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a', 'newPos': {'x': 223.44791412353516, 'y': 371.44791412353516}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
481,2000-01-01 11:23:52,instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f,layout.node.moved,"{'nodeId': 'instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f', 'newPos': {'x': 270, 'y': 299}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
482,2000-01-01 11:23:53,instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f,layout.node.moved,"{'nodeId': 'instance-329fa7cb-e216-4f66-a5a4-7381a3751f8f', 'newPos': {'x': 270, 'y': 259}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
483,2000-01-01 11:23:53,,relationship_node.created,"{'relationship_id': 'instance-e31a7f32-eead-426d-b28e-f76cad91bda6->instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a:holding', 'sourceId': 'instance-e31a7f32-eead-426d-b28e-f76cad91bda6', 'targetId': 'instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a', 'relation': 'holding', 'video_time': '37:45'}",7
484,2000-01-01 11:24:12,instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a,layout.node.moved,"{'nodeId': 'instance-a0afcbac-48bb-44cf-a84c-fa0966b4a97a', 'newPos': {'x': 169.44791412353516, 'y': 377.44791412353516}, 'session_id': 'f4f51ef5-bb84-4469-a68f-04a3780fd0af', 'user_id': 'P7'}",7
