,timestamp,id,event,details,id_group
259,2000-01-01 01:47:29,instance-7c807f3f-e9ba-4bb8-a25e-cb15eaf738de,instance.deleted,"{'instance_id': 'instance-7c807f3f-e9ba-4bb8-a25e-cb15eaf738de', 'instance_label': 'rabbit', 'is_from_class': False, 'class_id': None, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
260,2000-01-01 01:49:02,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7,object_node.extract.confirmed,"{'object_id': 'object3', 'object_name': 'balloon', 'parent_instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
261,2000-01-01 01:49:05,instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable,layout.node.moved,"{'nodeId': 'instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable', 'newPos': {'x': 218, 'y': 39}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
262,2000-01-01 01:49:08,instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 73, 'height': 157}, 'delta': {'width': 23, 'height': 107}, 'linkedSizeNodeIds': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
263,2000-01-01 01:49:09,instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable,layout.node.moved,"{'nodeId': 'instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable', 'newPos': {'x': 222, 'y': 7}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
264,2000-01-01 01:50:28,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7,instance.updated,"{'instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'instance_label': 'rabbit', 'text_changed': True, 'graph_changed': False, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
265,2000-01-01 01:50:46,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7,instance.updated,"{'instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'instance_label': 'rabbit', 'text_changed': False, 'graph_changed': True, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
266,2000-01-01 01:50:55,,relationship_node.deleted,"{'relationship_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7-instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04', 'source_object_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'target_object_id': 'instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04', 'relation': 'hugs', 'source_object_name': 'rabbit', 'target_object_name': 'balloon', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
267,2000-01-01 01:51:13,,api.generate_image.succeeded,"{'global_caption': 'a scene featuring a small village in the forest, a small rabbit, sad and with tears in its eyes, wearing a blue jacket and hugging a red balloon.', 'region_count': 3, 'has_image': True, 'detected_objects_count': 2, 'image_path': 'output/P2/2025-08-23_01-51-12/image.png', 'image_with_layout_path': 'output/P2/2025-08-23_01-51-12/image_with_layout.png', 'timestamp_dir': 'output/P2/2025-08-23_01-51-12', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
268,2000-01-01 01:52:02,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7,instance.updated,"{'instance_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'instance_label': 'rabbit', 'text_changed': False, 'graph_changed': True, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
269,2000-01-01 01:52:08,,relationship_node.deleted,"{'relationship_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7-instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04', 'source_object_id': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7', 'target_object_id': 'instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04', 'relation': 'hugs', 'source_object_name': 'rabbit', 'target_object_name': 'balloon', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
270,2000-01-01 01:52:30,,api.generate_image.succeeded,"{'global_caption': 'a scene featuring a small village in the forest, a small rabbit, sad with tears in its eyes, wearing a blue jacket and hugging a red balloon.', 'region_count': 3, 'has_image': True, 'detected_objects_count': 3, 'image_path': 'output/P2/2025-08-23_01-52-29/image.png', 'image_with_layout_path': 'output/P2/2025-08-23_01-52-29/image_with_layout.png', 'timestamp_dir': 'output/P2/2025-08-23_01-52-29', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
271,2000-01-01 01:52:40,instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 116, 'height': 108}, 'delta': {'width': 66, 'height': 58}, 'linkedSizeNodeIds': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
272,2000-01-01 01:52:42,instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 93, 'height': 93}, 'delta': {'width': 43, 'height': 43}, 'linkedSizeNodeIds': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
273,2000-01-01 01:52:54,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7-resizable,layout.node.moved,"{'nodeId': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7-resizable', 'newPos': {'x': 274.9453125, 'y': 267}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
274,2000-01-01 01:52:56,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7-resizable', 'prevSize': {'width': 142, 'height': 224}, 'newSize': {'width': 173, 'height': 256}, 'delta': {'width': 31, 'height': 32}, 'linkedSizeNodeIds': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
275,2000-01-01 01:53:13,,scene_saved,"{'slotNumber': 2, 'instanceCount': 3, 'nodeCount': 6, 'edgeCount': 0, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
276,2000-01-01 01:53:23,instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04,instance.deleted,"{'instance_id': 'instance-ba7e8248-b947-4fe4-ae79-3c8be9fcdb04', 'instance_label': 'balloon', 'is_from_class': False, 'class_id': None, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
277,2000-01-01 01:53:30,class-6e251dd6-7b8d-4ae1-a103-8c1b41f9de91,class.created,"{'class_id': 'class-6e251dd6-7b8d-4ae1-a103-8c1b41f9de91', 'class_name': 'rabbit Class', 'placeholder_count': 3, 'created_from': 'rabbit', 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
278,2000-01-01 01:54:08,instance-6502b88c-cca3-4c9d-8b28-8c543c3816b7,instance.created_from_class,"{'instance_id': 'instance-6502b88c-cca3-4c9d-8b28-8c543c3816b7', 'class_id': 'class-6e251dd6-7b8d-4ae1-a103-8c1b41f9de91', 'instance_label': 'Rabbit', 'has_text_description': True, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
279,2000-01-01 01:54:21,instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240,instance.created_from_class,"{'instance_id': 'instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240', 'class_id': 'class-6e251dd6-7b8d-4ae1-a103-8c1b41f9de91', 'instance_label': 'Rabbit', 'has_text_description': True, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
280,2000-01-01 01:54:36,instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240,layout.node.moved,"{'nodeId': 'instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240', 'newPos': {'x': 168, 'y': 210}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
281,2000-01-01 01:54:39,instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 77, 'height': 148}, 'delta': {'width': 27, 'height': 98}, 'linkedSizeNodeIds': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
282,2000-01-01 01:54:40,instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 136, 'height': 267}, 'delta': {'width': 86, 'height': 217}, 'linkedSizeNodeIds': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
283,2000-01-01 01:54:41,instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240-resizable,layout.node.moved,"{'nodeId': 'instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240-resizable', 'newPos': {'x': 131, 'y': 236}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
284,2000-01-01 01:54:42,instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7-resizable,layout.node.moved,"{'nodeId': 'instance-2b75c4bb-d457-4a02-8099-68d3c8a16ea7-resizable', 'newPos': {'x': 319.9453125, 'y': 235}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
285,2000-01-01 01:54:43,instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240-resizable,layout.node.moved,"{'nodeId': 'instance-16c56a32-06f2-4fa5-9e2b-bd7da5842240-resizable', 'newPos': {'x': 173, 'y': 236}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
286,2000-01-01 01:54:45,instance-6502b88c-cca3-4c9d-8b28-8c543c3816b7-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-6502b88c-cca3-4c9d-8b28-8c543c3816b7-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 90, 'height': 353}, 'delta': {'width': 40, 'height': 303}, 'linkedSizeNodeIds': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
287,2000-01-01 01:54:46,instance-6502b88c-cca3-4c9d-8b28-8c543c3816b7-resizable,layoutboard.node.resizable.resized,"{'nodeId': 'instance-6502b88c-cca3-4c9d-8b28-8c543c3816b7-resizable', 'prevSize': {'width': 50, 'height': 50}, 'newSize': {'width': 146, 'height': 257}, 'delta': {'width': 96, 'height': 207}, 'linkedSizeNodeIds': [], 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
288,2000-01-01 01:54:47,instance-6502b88c-cca3-4c9d-8b28-8c543c3816b7-resizable,layout.node.moved,"{'nodeId': 'instance-6502b88c-cca3-4c9d-8b28-8c543c3816b7-resizable', 'newPos': {'x': 12, 'y': 240}, 'session_id': '5a569202-eeea-41bb-9e3a-68dda74fa20c', 'user_id': 'P2'}",2
